Sp    |(M-B)    (M-V)    | (M-B)   (M-V)
      |    0        0    |     1       1
----------------------------------------
   O55|  0.15   -0.14    | -0.13   -0.10
   B05|  0.12   -0.13    | -0.17   -0.10
   B15|  0.12   -0.10    | -0.18   -0.09
   B35|  0.09   -0.07    | -0.24   -0.08
   B55|  0.05   -0.05    | -0.30   -0.09
   B75|  0.03   -0.03    | -0.33   -0.08
   B85|  0.02   -0.02    | -0.35   -0.08
   B95| -0.01   -0.01    | -0.39   -0.07
   A05| -0.05   -0.01    | -0.43   -0.08
   A25| -0.10   -0.01    | -0.49   -0.09
   A35| -0.15   -0.01    | -0.54   -0.10
   A55| -0.19   -0.03    | -0.59   -0.12
   A75| -0.29   -0.05    | -0.70   -0.15
   F05| -0.44   -0.08    | -0.87   -0.20
   F25| -0.53   -0.11    | -0.96   -0.24
   F55| -0.59   -0.13    | -1.03   -0.26
   F65| -0.65   -0.14    | -1.10   -0.28
   F85| -0.74   -0.16    | -1.18   -0.30
   G05| -0.81   -0.18    | -1.26   -0.32
   G25| -0.86   -0.19    | -1.32   -0.35
   G55| -0.90   -0.20    | -1.36   -0.36
   G85| -1.02   -0.22    | -1.49   -0.38
   K05| -1.10   -0.25    | -1.57   -0.41
   K25| -1.25   -0.30    | -1.73   -0.47
   K35| -1.40   -0.35    | -1.88   -0.54
   K45| -1.57   -0.43    | -2.07   -0.62
   K55| -1.75   -0.49    | -2.26   -0.69
   K75| -2.05   -0.60    | -2.57   -0.82
   M05| -2.19   -0.68    | -2.72   -0.92
   M25| -2.47   -0.87    | -3.03   -1.13
   M35| -2.62   -1.01    | -3.20   -1.29
   M45| -2.75   -1.13    | -3.35   -1.42
   M55| -3.11   -1.29    | -3.72   -1.60
   M75| -3.55   -1.64    | -4.20   -2.00
   A44| -0.17   -0.03    | -0.56   -0.11
   F04| -0.43   -0.09    | -0.85   -0.20
   F24| -0.50   -0.11    | -0.93   -0.23
   F54| -0.61   -0.12    | -1.05   -0.25
   F84| -0.74   -0.14    | -1.18   -0.28
   G04| -0.82   -0.16    | -1.27   -0.31
   G24| -0.88   -0.18    | -1.34   -0.33
   G54| -0.99   -0.21    | -1.45   -0.37
   G84| -1.15   -0.26    | -1.63   -0.43
   K04| -1.29   -0.29    | -1.77   -0.47
   K14| -1.41   -0.32    | -1.89   -0.51
   K34| -1.64   -0.38    | -2.13   -0.57
   B93|  0.01   -0.01    | -0.37   -0.07
   A33| -0.17   -0.01    | -0.57   -0.10
   A53| -0.24   -0.04    | -0.64   -0.13
   A73| -0.29   -0.05    | -0.70   -0.15
   F03| -0.39   -0.07    | -0.81   -0.19
   F23| -0.52   -0.10    | -0.95   -0.22
   F53| -0.66   -0.12    | -1.10   -0.26
   G03| -0.92   -0.20    | -1.38   -0.35
   G53| -1.19   -0.25    | -1.66   -0.42
   G83| -1.28   -0.27    | -1.75   -0.45
   K03| -1.38   -0.29    | -1.86   -0.48
   K13| -1.49   -0.33    | -1.97   -0.52
   K23| -1.60   -0.35    | -2.09   -0.55
   K33| -1.80   -0.40    | -2.29   -0.60
   K43| -1.98   -0.48    | -2.48   -0.69
   K53| -2.20   -0.58    | -2.71   -0.81
   M03| -2.31   -0.65    | -2.84   -0.89
   M13| -2.42   -0.70    | -2.95   -0.94
   M23| -2.48   -0.76    | -3.02   -1.01
   M33| -2.69   -0.94    | -3.26   -1.22
   M43| -2.88   -1.20    | -3.48   -1.51
   M53| -3.27   -1.55    | -3.91   -1.89
   M63| -3.67   -1.97    | -4.35   -2.34
   M73| -4.46   -2.77    | -5.19   -3.16
   B22|  0.06   -0.10    | -0.26   -0.10
   B52|  0.04   -0.06    | -0.30   -0.08
   F02| -0.24   -0.04    | -0.65   -0.15
   F22| -0.46   -0.08    | -0.88   -0.20
   G52| -1.18   -0.23    | -1.65   -0.39
   K12| -1.62   -0.30    | -2.09   -0.49
   K22| -1.78   -0.38    | -2.27   -0.58
   K32| -2.05   -0.46    | -2.55   -0.68
   M32| -2.79   -0.97    | -3.36   -1.26
   M42| -3.06   -1.27    | -3.66   -1.58
  B01A|  0.06   -0.12    | -0.24   -0.11
  B11B|  0.04   -0.11    | -0.28   -0.11
 B31AB|  0.00   -0.07    | -0.33   -0.09
 B51AB| -0.06   -0.08    | -0.41   -0.12
  B81A| -0.09   -0.07    | -0.45   -0.12
  A01B| -0.09   -0.05    | -0.48   -0.12
  A21A| -0.17   -0.04    | -0.57   -0.12
  F01B| -0.31   -0.06    | -0.73   -0.17
  F51B| -0.54   -0.09    | -0.97   -0.21
 F81AB| -0.75   -0.11    | -1.19   -0.25
  G01B| -0.99   -0.17    | -1.45   -0.32
  G21B| -1.15   -0.19    | -1.61   -0.35
  G51B| -1.34   -0.23    | -1.80   -0.40
  G81B| -1.64   -0.31    | -2.11   -0.50
  K21B| -2.06   -0.43    | -2.55   -0.64
  K31B| -2.19   -0.50    | -2.69   -0.72
  K41B| -2.39   -0.62    | -2.91   -0.86
 M21AB| -2.99   -0.97    | -3.55   -1.25
----------------------------------------


----------------------------------------
    O5|  0.15   -0.14    | -0.13   -0.10
    B0|  0.03   -0.06    | -0.12   -0.05
    B1|  0.02   -0.05    | -0.14   -0.05
    B2|  0.06   -0.10    | -0.26   -0.10
    B3|  0.00   -0.04    | -0.17   -0.05
    B5| -0.02   -0.03    | -0.14   -0.04
    B7|  0.03   -0.03    | -0.33   -0.08
    B8| -0.04   -0.04    | -0.23   -0.06
    B9|  0.00   -0.01    | -0.18   -0.04
    A0| -0.05   -0.02    | -0.24   -0.06
    A2| -0.09   -0.02    | -0.28   -0.06
    A3| -0.09   -0.01    | -0.28   -0.05
    A4| -0.17   -0.03    | -0.56   -0.11
    A5| -0.12   -0.02    | -0.32   -0.07
    A7| -0.14   -0.02    | -0.35   -0.08
    F0| -0.06   -0.01    | -0.15   -0.03
    F2| -0.11   -0.02    | -0.22   -0.05
    F5| -0.14   -0.02    | -0.24   -0.05
    F6| -0.65   -0.14    | -1.10   -0.28
    F8| -0.25   -0.04    | -0.40   -0.08
    G0| -0.25   -0.04    | -0.36   -0.08
    G2| -0.38   -0.06    | -0.54   -0.12
    G5| -0.27   -0.05    | -0.36   -0.08
    G8| -0.41   -0.08    | -0.53   -0.12
    K0| -0.46   -0.10    | -0.62   -0.16
    K1| -0.54   -0.10    | -0.70   -0.16
    K2| -0.51   -0.11    | -0.64   -0.16
    K3| -0.44   -0.10    | -0.54   -0.14
    K4| -0.80   -0.21    | -0.97   -0.29
    K5| -1.10   -0.29    | -1.36   -0.41
    K7| -2.05   -0.60    | -2.57   -0.82
    M0| -1.16   -0.33    | -1.42   -0.45
    M1| -2.42   -0.70    | -2.95   -0.94
    M2| -1.00   -0.32    | -1.18   -0.42
    M3| -0.93   -0.32    | -1.12   -0.42
    M4| -1.02   -0.42    | -1.22   -0.53
    M5| -1.64   -0.78    | -1.95   -0.95
    M6| -3.67   -1.97    | -4.35   -2.34
    M7| -2.23   -1.38    | -2.60   -1.58
